Season,Week,Team,R,HR,RBI,SB,OBP,SLG,K,QS,W,SV,ERA,WHIP
2011,21,#1 KC Black Stars,90,29,95,14,0.3308,0.4553,144,13,9,13,3.873,1.278
2011,21,#3 $1 Hot Dog Night,91,15,75,14,0.3374,0.4148,137,11,8,11,4.926,1.393
2011,21,#2 Kansas Sleazy,76,13,77,10,0.3536,0.4537,100,10,13,10,2.419,1.032
2011,21,#6 The Green Monsters,61,16,59,9,0.3278,0.4342,121,14,10,5,2.915,1.141
2011,21,#5 Rage Against  The MaSHEEN!,82,17,68,9,0.3312,0.4059,138,11,12,0,4.097,1.29
2011,21,#8 Team Mitchell,54,13,67,7,0.3464,0.4109,110,10,5,10,3.546,1.048
2011,21,#7 StraightEdge Racers,60,14,52,5,0.3262,0.4049,105,10,10,3,3.418,1.149
2011,21,#10 Team Lopez,88,18,69,10,0.3695,0.4707,91,9,6,6,3.576,1.301
2011,21,#9 Have You Seen My Baseball?,86,26,85,12,0.3534,0.5058,89,9,4,8,4.536,1.344
2011,21,#12 6-4-3 Dobermans,48,13,57,15,0.3249,0.3925,47,3,4,0,4.585,1.302
2011,21,#11 Over The Baggy,72,20,72,5,0.3541,0.498,100,7,5,7,3.555,1.26
2011,22,#2 Kansas Sleazy,90,27,70,14,0.3773,0.4868,105,12,8,5,3.617,1.299
2011,22,#1 KC Black Stars,91,23,82,16,0.3302,0.431,179,17,15,15,2.93,1.022
2011,22,#4 M-Square Sliders,75,14,71,17,0.3382,0.4153,108,10,8,7,3.209,1.279
2011,22,#3 $1 Hot Dog Night,84,17,68,22,0.3516,0.3951,132,14,10,11,3.639,1.252
2011,22,#8 Team Mitchell,74,18,71,9,0.3627,0.488,103,8,6,9,3.036,1.234
2011,22,#5 Rage Against  The MaSHEEN!,76,18,76,10,0.3869,0.4722,154,12,9,0,3.35,1.228
2011,22,#10 Team Lopez,88,30,93,8,0.3361,0.4495,113,11,9,6,3.126,1.074
2011,22,#6 The Green Monsters,78,22,77,8,0.3205,0.4504,136,14,8,7,2.7,1.132
2011,22,#11 Over The Baggy,97,23,95,12,0.342,0.4708,95,6,3,8,5.063,1.47
2011,22,#7 StraightEdge Racers,60,17,64,8,0.3159,0.3761,118,13,6,5,2.395,1.153
2011,22,#12 6-4-3 Dobermans,76,11,60,20,0.3495,0.4183,58,6,4,10,3.183,1.218
2011,22,#9 Have You Seen My Baseball?,105,36,99,16,0.3545,0.5526,80,8,7,12,4.538,1.385
2012,1,Terlingua Buffaloes,63,13,56,12,0.3558,0.422,105,9,8,12,3.438,1.183
2012,1,$1 Hot Dog Night,54,9,39,10,0.3243,0.3641,87,5,3,5,5.671,1.42
2012,1,KC Royal Blues,38,10,36,1,0.3103,0.4113,71,3,7,1,3.995,1.378
2012,1,Great Plains Gypsies,62,13,52,6,0.3368,0.4356,86,7,3,4,4.065,1.419
2012,1,All Aboard the Cain Train,61,20,66,11,0.3389,0.4988,85,8,9,8,3.459,1.153
2012,1,Over The Baggy,55,19,72,6,0.3371,0.4585,64,7,5,1,5.082,1.424
2012,1,Have You Seen My Baseball?,64,16,57,15,0.3381,0.4372,91,8,6,3,3.87,1.094
2012,1,Zues' BUTTHOLE!!!,66,15,44,4,0.2961,0.4116,93,7,5,0,3.375,1.262
2012,1,A New Beginning,48,9,45,8,0.2961,0.3683,69,6,5,7,3.089,1.351
2012,1,JHam's Vodka and Holy Water,56,10,44,6,0.3259,0.4209,51,6,6,8,2.552,1.224
2012,1,Dark Knights,58,20,64,4,0.3458,0.4828,77,8,5,2,4.124,1.244
2012,1,Kansas Sleazy,60,18,57,10,0.3576,0.4736,106,7,5,6,4.459,1.207
2012,2,KC Royal Blues,25,6,29,8,0.2923,0.3739,36,3,2,0,3.894,1.413
2012,2,Terlingua Buffaloes,45,9,31,10,0.3657,0.4345,67,10,7,8,2.268,1.02
2012,2,$1 Hot Dog Night,36,5,30,9,0.3089,0.3772,71,6,2,3,3.923,1.308
2012,2,All Aboard the Cain Train,37,9,40,3,0.3446,0.4099,72,7,3,4,4.109,1.337
2012,2,Great Plains Gypsies,35,13,44,4,0.3322,0.4731,43,5,5,8,2.882,1.298
2012,2,Over The Baggy,39,8,33,9,0.3648,0.4238,41,2,4,3,6.328,1.828
